Q006,Q024,Q003,Q001,Q004,Q002,Q008,Q010,Q018,Q019,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,cluster
1,0,2,7,1,1,1,0,0,1,435.9,470.9,460.4,487.2,340.0,0
3,0,5,4,1,3,1,0,0,1,556.9,600.0,598.8,503.1,460.0,0
7,1,4,6,1,4,3,1,1,1,595.7,595.1,590.1,675.9,700.0,2
7,1,1,4,1,4,3,2,0,2,450.4,449.5,503.8,526.2,400.0,2
9,2,2,4,3,5,1,2,1,2,629.8,670.3,606.2,828.7,780.0,1
6,1,1,3,1,4,2,1,0,1,647.1,657.9,623.9,757.8,920.0,2
7,4,3,4,3,6,2,2,1,2,556.7,396.0,493.1,543.7,680.0,1
1,0,0,1,0,1,1,0,0,1,396.5,381.2,438.9,390.6,560.0,0
2,0,1,4,1,4,1,0,0,1,535.6,567.9,488.0,440.0,600.0,0
2,0,3,3,3,2,1,0,0,1,539.7,490.1,514.5,465.1,780.0,0
3,1,3,1,1,1,1,1,0,1,458.8,317.5,299.8,351.7,220.0,0
12,2,1,4,3,6,2,3,0,4,448.0,578.7,527.0,448.1,640.0,1
1,1,5,7,1,4,1,1,0,2,411.5,423.6,473.2,373.1,0.0,0
4,0,2,4,4,4,1,0,0,2,429.6,492.0,433.4,537.4,580.0,0
1,0,0,0,1,1,1,1,0,1,414.8,373.1,425.3,405.5,700.0,0
4,1,2,4,1,5,1,1,1,3,483.7,548.3,508.9,460.5,840.0,2
5,0,3,4,3,4,1,1,0,1,420.2,486.9,513.5,602.8,720.0,2
2,1,2,1,1,0,1,0,0,1,488.3,479.3,502.9,495.9,360.0,0
5,0,2,1,1,3,2,1,1,2,432.3,472.4,455.4,442.2,560.0,2
2,0,1,1,1,3,1,1,0,1,467.9,585.5,518.3,651.7,600.0,2
1,0,1,3,1,3,1,0,0,1,509.8,526.9,511.4,577.6,700.0,0
3,1,1,4,1,4,1,0,0,1,398.5,402.9,430.3,360.5,520.0,0
2,1,5,3,3,3,2,1,0,1,509.8,553.7,542.6,448.4,640.0,0
1,0,5,7,3,6,1,0,0,1,432.9,472.6,471.4,336.0,420.0,0
16,1,4,5,4,4,3,0,0,1,492.5,564.4,452.3,656.3,760.0,1
7,1,3,5,3,4,2,1,0,2,495.4,544.2,543.0,470.5,380.0,1
1,1,3,4,5,7,1,0,0,0,433.8,495.0,481.8,406.4,580.0,2
2,3,2,4,5,4,2,1,1,2,586.1,592.5,597.7,612.4,800.0,1
6,1,2,2,1,2,2,1,0,1,587.5,563.7,560.4,623.4,860.0,2
4,2,2,4,1,6,1,1,1,1,367.0,397.2,353.8,369.3,340.0,2
13,2,4,6,3,5,4,2,1,4,587.3,622.6,629.6,711.8,800.0,1
7,1,3,5,2,4,2,1,1,1,521.0,562.3,547.9,638.5,760.0,2
0,1,5,6,1,6,1,0,1,1,477.2,473.3,459.9,386.6,520.0,2
0,1,2,4,1,4,1,0,0,1,555.8,652.4,590.2,412.9,640.0,0
1,0,2,1,0,1,1,0,0,1,527.7,541.1,490.2,466.4,920.0,0
7,1,5,7,3,4,1,0,0,1,582.5,649.2,561.0,613.2,540.0,2
1,0,1,4,1,4,1,0,0,1,529.1,315.0,560.4,476.9,320.0,0
1,0,2,4,5,3,1,0,0,1,410.4,411.3,397.4,360.7,820.0,0
1,0,1,2,1,1,1,0,0,1,505.1,520.0,496.6,402.6,460.0,0
1,1,0,4,5,7,2,0,0,2,465.4,512.9,523.5,442.5,760.0,2
1,0,2,4,3,6,1,0,0,1,597.4,614.1,574.2,616.3,600.0,2
1,0,2,2,0,3,2,0,0,1,462.8,448.7,501.0,388.4,380.0,0
4,0,3,4,5,4,1,1,1,1,443.9,551.9,558.4,461.1,680.0,2
12,2,3,5,3,5,2,1,0,2,488.1,550.0,510.3,621.1,680.0,1
12,3,3,6,3,5,3,2,1,3,692.8,767.6,666.0,844.3,860.0,1
0,0,2,4,1,3,1,0,0,1,415.9,464.3,453.1,375.2,300.0,0
6,0,5,3,5,4,1,0,0,1,460.9,314.8,430.3,404.4,840.0,0
6,1,2,2,1,4,2,1,1,1,512.3,563.9,610.1,505.1,600.0,2
5,2,3,5,3,5,1,1,0,1,648.1,656.3,671.6,741.2,920.0,2
9,0,5,3,3,4,1,0,1,1,505.5,571.6,499.5,463.9,920.0,2
9,4,4,6,3,6,3,1,0,4,546.9,568.5,551.4,509.3,840.0,1
2,0,2,4,2,4,1,0,0,1,494.6,504.4,511.0,461.2,520.0,0
3,0,2,3,1,3,1,0,0,1,496.4,517.5,540.1,455.7,580.0,0
3,0,1,4,1,4,1,0,0,1,575.8,339.5,530.1,609.2,680.0,0
2,0,3,4,1,3,2,1,0,1,491.8,555.5,497.6,495.7,780.0,2
10,1,4,6,4,5,4,2,0,3,534.9,600.3,556.9,668.5,380.0,1
3,1,0,4,0,2,1,0,0,1,676.7,642.7,603.4,761.1,900.0,0
6,1,2,2,3,6,2,0,0,1,469.9,501.6,562.2,352.9,740.0,2
6,1,3,4,3,4,2,2,0,2,657.7,559.3,502.3,752.7,920.0,1
4,1,3,4,1,4,1,0,1,1,478.0,608.8,587.5,573.7,800.0,2
3,0,0,2,0,2,1,0,0,1,569.0,596.4,562.6,606.7,740.0,0
0,1,5,1,5,1,2,1,0,0,440.7,340.0,368.6,370.3,0.0,0
1,1,2,7,1,3,1,0,0,1,475.5,537.9,534.9,453.4,760.0,0
6,0,5,7,3,6,1,2,0,3,540.6,502.2,478.9,547.5,400.0,1
6,1,3,6,3,5,2,1,0,1,563.1,555.2,498.8,631.4,700.0,2
3,2,3,4,3,4,1,1,1,2,483.2,592.4,530.1,413.7,580.0,2
6,1,4,6,4,5,4,1,1,4,458.4,585.5,545.8,607.6,840.0,1
1,0,2,4,1,5,1,0,0,1,448.4,495.8,511.8,556.3,640.0,0
8,2,3,6,3,5,1,1,1,2,575.2,641.7,617.6,619.1,0.0,2
1,0,1,4,5,4,1,0,0,0,443.6,493.2,470.9,390.9,300.0,0
16,4,4,6,3,6,4,2,1,4,530.6,513.5,579.3,722.7,820.0,1
